ID,eC_number,logFC,AveExpr,t,P.Value,adj.P.Val,B
BJEIHDPM_05220,"inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q881J7",4.642786814,9.306915128,24.61684263,2.33874884163868e-28,2.43002468182037e-26,54.50424026
BJEIHDPM_01368,mscK,-5.280955004,8.136700183,-24.60668363,2.38097299197366e-28,2.43002468182037e-26,54.04870176
BJEIHDPM_00449,inference=ab initio prediction:Prodigal:2.6,-5.220926152,8.721796501,-24.60657902,2.38141178771851e-28,2.43002468182037e-26,54.20408185
BJEIHDPM_03394,2.7.8.33,5.186804701,10.07324958,24.59499193,2.43053104245422e-28,2.43002468182037e-26,54.48176483
BJEIHDPM_00437,inference=ab initio prediction:Prodigal:2.6,-5.447888081,8.463815616,-24.46941602,3.03406866042381e-28,2.97152969415793e-26,53.86296919
BJEIHDPM_03862,3.1.-.-,-5.269630387,8.583165648,-24.39880587,3.43854138976728e-28,3.30031202589864e-26,53.81640091
BJEIHDPM_00072,inaZ,-5.002903942,8.054274451,-24.27046089,4.32024330252948e-28,4.06526423702725e-26,53.49299428
BJEIHDPM_00793,3.1.-.-,-5.195080752,8.390763812,-24.2230273,4.7017520990998e-28,4.33917467761152e-26,53.45262091
BJEIHDPM_02414,2.7.1.-,-5.614014687,7.703954813,-24.14616468,5.39440855563564e-28,4.88448427518782e-26,53.11632677
BJEIHDPM_03858,inference=ab initio prediction:Prodigal:2.6,-5.301250926,8.196567843,-24.13209812,5.53202536028784e-28,4.89923947343727e-26,53.26186134
BJEIHDPM_01474,1.4.1.13,-5.063214183,8.829266344,-24.12380001,5.61488166366014e-28,4.89923947343727e-26,53.44838175
BJEIHDPM_02085,3.1.-.-,-5.366921466,8.127686786,-24.02229985,6.73702315388071e-28,5.77338823490599e-26,53.05560799
BJEIHDPM_03856,3.1.-.-,-5.415161896,8.644703029,-23.93305729,7.91181083625068e-28,6.66118950932755e-26,53.00311053
BJEIHDPM_01303,tolC_1,-5.654515774,7.748742141,-23.89629073,8.45474004417379e-28,6.99556852965345e-26,52.70072086
BJEIHDPM_01180,2.7.13.3,-5.41542258,8.868684257,-23.87622736,8.76688983402487e-28,7.13089903618396e-26,52.94566614
BJEIHDPM_00562,4.1.1.31,-5.759002622,7.335226381,-23.85637792,9.08728298290698e-28,7.20773835915816e-26,52.49814716
BJEIHDPM_03592,fliD,-5.276044925,7.980763356,-23.85186711,9.1617428611929e-28,7.20773835915816e-26,52.72675087
BJEIHDPM_04820,inference=ab initio prediction:Prodigal:2.6,-5.410373663,7.941145296,-23.81160613,9.85452286498881e-28,7.62771858533569e-26,52.6204174
BJEIHDPM_03758,lgrB_1,-5.442492884,9.152477495,-23.79783356,1.01035859903799e-27,7.69636653457667e-26,52.86418691
